_seq,step,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/adv,timing_s/update_actor,timing_s/dump_rollout_generations,timing_s/step,timing_s/stop_profile,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_per_token_ms/adv,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/save_checkpoint
1,1,4820.0,12439.0,7619.0,9464.0,9936.0,9591.25,0.1806672066450119,-0.0006655232794582855,0.02127131519373506,0.0028133120782513287,4.2161512828897686e-05,1.921875,0.1050155518346963,29.082397937774658,32.548828125,117.11163711547852,5e-06,1.0,0.0,1.8989202976226807,8.0,-15.625,1.8989202976226807,8.0,-15.625,-0.05865039303898811,1.6529985666275024,-1.7249561548233032,-0.05865039303898811,1.6529985666275024,-1.7249561548233032,610.375,1719.0,344.0,0.0,610.375,1719.0,344.0,0.0,0.0,1307.875,1968.0,345.0,0.0,0.0002907458692789078,16.49689292907715,30.0585880279541,10.402616500854492,0.125,34.57148025929928,31.53505764901638,5.652338568121195,0.002659520134329796,31.249944927170873,0.08866256289184093,103.13942807726562,5.137547850608826e-05,1.415993457272139,0.40727153560759644,3.466076025452621e-05,76730.0,103.13942807726562,92.99305007600812,
2,2,4265.0,7527.0,3262.0,5583.0,6072.0,5910.25,0.1982424557209015,-0.0002863331139087651,0.011199836537707597,-9.562320001350599e-05,0.0,1.7421875,0.06827673070784218,29.082397937774658,32.548828125,117.09353256225586,5e-06,2.0,0.0,-1.6801116466522217,6.733870983123779,-16.724138259887695,-1.6801116466522217,6.733870983123779,-16.724138259887695,-0.3123989403247833,1.2778544425964355,-1.782881498336792,-0.3123989403247833,1.2778544425964355,-1.782881498336792,830.9249877929688,2048.0,387.0,0.15000000596046448,830.9249877929688,2048.0,387.0,0.15000000596046448,0.0,351.125,468.0,272.0,0.0,5.079619586467743e-05,26.01955795288086,34.665401458740234,10.257633209228516,0.125,39.04827333800495,47.80389660038054,3.871399477124214,0.016125012189149857,28.390228183940053,0.07555511593818665,119.210643209517,5.032867193222046e-05,1.1748434978489317,0.600444739730554,0.000341039130940947,47282.0,119.210643209517,49.57820745596115,
3,3,5004.0,7165.0,2161.0,5689.0,6236.0,6000.25,0.17577704787254333,-0.0002169837616384028,0.007879744155798108,-0.0001296526192163583,0.0,1.80078125,0.0689943508414792,29.082397937774658,32.548828125,116.52484512329102,5e-06,3.0,0.0,-2.2746338844299316,6.941747665405273,-21.20689582824707,-2.2746338844299316,6.941747665405273,-21.20689582824707,-0.10115274041891098,1.0168187618255615,-1.7694025039672852,-0.10115274041891098,1.0168187618255615,-1.7694025039672852,759.0499877929688,2048.0,317.0,0.10000000149011612,759.0499877929688,2048.0,317.0,0.10000000149011612,0.0,441.0,663.0,284.0,0.0,5.358085036277771e-05,23.70203399658203,34.29439163208008,10.44591236114502,0.125,39.028302343562245,55.846488043665886,3.9242772553116083,0.004973664879798889,28.422539312392473,0.07667042873799801,127.31134693138301,4.84660267829895e-05,1.2854325256426535,0.5921115643596615,0.00010361370109159804,48002.0,127.31134693138301,47.13052013528656,
4,4,4111.0,7520.0,3409.0,5307.0,6386.0,5801.5,0.18668076395988464,-0.00018462350941263195,0.006392106285784393,-0.00016097505667858058,0.0,1.8046875,0.06719044136288195,29.082397937774658,32.548828125,116.53126907348633,5e-06,4.0,0.0,-1.0056688785552979,7.08737850189209,-17.5,-1.0056688785552979,7.08737850189209,-17.5,-0.10312258452177048,1.157962441444397,-1.7511203289031982,-0.10312258452177048,1.157962441444397,-1.7511203289031982,725.1749877929688,2048.0,331.0,0.07500000298023224,725.1749877929688,2048.0,331.0,0.07500000298023224,0.0,435.125,634.0,318.0,0.0,5.230121314525604e-05,20.65847396850586,34.422935485839844,11.533251762390137,0.125,38.83188588358462,53.49837173894048,3.9157654996961355,0.003060128539800644,28.168668415397406,0.18311861902475357,124.60716200992465,0.00013248436152935028,1.338707411438088,0.6069264072954711,6.593399422133595e-05,46412.0,124.60716200992465,46.55831901169473,
5,5,4224.0,8894.0,4670.0,4936.0,6056.0,5403.25,0.17810729146003723,-0.00017864987254142818,0.005626142623077613,0.00010196147595706862,3.3156498102471235e-05,2.078125,0.06293446068824524,29.082397937774658,32.548828125,116.28843688964844,5e-06,5.0,0.0,-2.122549295425415,8.428571701049805,-25.0,-2.122549295425415,8.428571701049805,-25.0,-0.028973598033189774,1.57939612865448,-1.7732772827148438,-0.028973598033189774,1.57939612865448,-1.7732772827148438,683.4000244140625,2048.0,308.0,0.07500000298023224,683.4000244140625,2048.0,308.0,0.07500000298023224,0.0,397.25,683.0,299.0,0.0,5.572102963924408e-05,20.110153198242188,34.01243209838867,10.456742286682129,0.125,38.556217620149255,48.81266031973064,3.8976656198501587,0.003192352131009102,27.879067851230502,0.08419319055974483,119.23893907479942,5.1254406571388245e-05,1.4104557221301308,0.6449606221077708,7.385259175054601e-05,43226.0,119.23893907479942,45.31447563962728,
6,6,3849.0,8648.0,4799.0,5893.0,5997.0,5979.0,0.17939725518226624,-0.0001379472133703513,0.005403558767284267,7.715690308032208e-05,0.0,2.01171875,0.07046896987411094,29.082397937774658,32.548828125,116.14173126220703,5e-06,6.0,0.0,-2.3896143436431885,7.763157844543457,-18.92405128479004,-2.3896143436431885,7.763157844543457,-18.92405128479004,0.039123062044382095,1.6047892570495605,-1.7651360034942627,0.039123062044382095,1.6047892570495605,-1.7651360034942627,826.0499877929688,2048.0,373.0,0.125,826.0499877929688,2048.0,373.0,0.125,0.0,369.75,593.0,328.0,0.0,5.2342191338539124e-05,23.32976531982422,34.924285888671875,8.3007230758667,0.125,39.473120188340545,42.598554726690054,3.8383734561502934,0.002798270434141159,27.891708919778466,0.07165507599711418,113.88128007762134,5.3398311138153076e-05,1.1946347130422053,0.5831181828018579,5.850205791397305e-05,47832.0,113.88128007762134,52.50204419835043,
7,7,4422.0,9709.0,5287.0,5997.0,6505.0,6167.25,0.16443809866905212,-5.4902974516159166e-05,0.005401394824730232,1.3973977866044152e-05,1.7170330102089794e-05,1.97265625,0.07075100749249566,29.082397937774658,32.548828125,116.23004913330078,5e-06,7.0,0.0,-1.1080201864242554,7.4285712242126465,-20.370370864868164,-1.1080201864242554,7.4285712242126465,-20.370370864868164,-0.05253884941339493,1.0664293766021729,-1.788853645324707,-0.05253884941339493,1.0664293766021729,-1.788853645324707,763.3250122070312,2048.0,389.0,0.02500000037252903,763.3250122070312,2048.0,389.0,0.02500000037252903,0.0,470.125,1113.0,309.0,0.0,5.078315734863281e-05,22.4686279296875,33.26911163330078,9.8757905960083,0.125,37.705977560952306,68.64972854033113,3.9146573692560196,0.0036575589329004288,28.572243370115757,0.07269947603344917,138.9243447203189,4.887208342552185e-05,1.2349254105706058,0.5791123144455745,7.413269554705154e-05,49338.0,138.9243447203189,44.392867300658104,
8,8,4076.0,6166.0,2090.0,4775.0,5761.0,4943.25,0.16453011333942413,-5.625660531222709e-05,0.005414583915262483,0.00015248643330778577,0.0,1.79296875,0.05924226372388811,29.082397937774658,32.548828125,116.34624242782593,5e-06,8.0,0.0,-0.9722251892089844,7.642857074737549,-15.833333015441895,-0.9722251892089844,7.642857074737549,-15.833333015441895,-0.08256284147500992,1.4713112115859985,-1.7887661457061768,-0.08256284147500992,1.4713112115859985,-1.7887661457061768,647.4000244140625,2048.0,326.0,0.02500000037252903,647.4000244140625,2048.0,326.0,0.02500000037252903,0.0,341.25,369.0,279.0,0.0,5.3184106945991516e-05,16.562801361083984,32.958980560302734,11.365135192871094,0.125,37.382944790646434,54.226942621171474,3.752331331372261,0.004825184121727943,26.76497358456254,0.08235104940831661,122.21961101517081,4.83393669128418e-05,1.4435798884247155,0.6768060887210474,0.00012201446724644575,39546.0,122.21961101517081,40.445636824898806,
9,9,4179.0,7981.0,3802.0,5008.0,5970.0,5498.5,0.17342141270637512,-0.00010571230202913242,0.005648740017204545,-1.8460910337125824e-05,0.0,2.0859375,0.06429984047365835,29.082397937774658,32.548828125,116.21725559234619,5e-06,9.0,0.0,-3.213324785232544,8.219511985778809,-19.69230842590332,-3.213324785232544,8.219511985778809,-19.69230842590332,-0.14500880241394043,1.5414258241653442,-1.6723856925964355,-0.14500880241394043,1.5414258241653442,-1.6723856925964355,669.7000122070312,2048.0,335.0,0.07500000298023224,669.7000122070312,2048.0,335.0,0.07500000298023224,0.0,430.0,590.0,322.0,0.0,5.169585347175598e-05,18.765920639038086,35.78409194946289,9.64763069152832,0.125,40.92038593813777,48.24677107669413,3.80331601947546,0.005481161177158356,27.768698347732425,0.1324984524399042,120.88373013213277,4.8920512199401855e-05,1.5275640562243455,0.6312789476159958,0.00012460582834314713,43988.0,120.88373013213277,45.48585648366267,
10,10,4099.0,5948.0,1849.0,4658.0,4928.0,4716.75,0.16191786527633667,-2.583181485533853e-05,0.006125545402755961,0.00040352037303819087,0.0,2.3359375,0.057350664485229366,29.082397937774658,32.548828125,116.25760412216187,5e-06,10.0,0.0,-1.064191460609436,9.129032135009766,-16.428571701049805,-1.064191460609436,9.129032135009766,-16.428571701049805,-0.026201928034424782,1.2319813966751099,-1.7871179580688477,-0.026201928034424782,1.2319813966751099,-1.7871179580688477,546.9749755859375,1010.0,362.0,0.0,546.9749755859375,1010.0,362.0,0.0,0.0,396.375,588.0,310.0,0.0,5.151331424713135e-05,12.819042205810547,16.610248565673828,9.474349975585938,0.125,21.30089491419494,49.53588786907494,3.697859439998865,0.0021929889917373657,26.23512020893395,0.0749080628156662,100.85462832078338,5.961209535598755e-05,0.9735771705377275,0.6952647535096717,5.8117056016785014e-05,37734.0,100.85462832078338,46.76780905877383,
